Name,Date of Birth,Type of Parliamentarian,House of Commons,Senate,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation,Years of Service
"MacAulay, Lawrence",1946-09-09,"MP (1988/11/21 - )
","1988/11/21 - 
",NA,"Cardigan (1988/11/21 - )
","Prince Edward Island
",Man,"Liberal Party of Canada (1988/11/21 - )
","12894 days (35 years, 3 months, 19 days)"
"MacBain, Arthur Allister",1925-09-04,"MP (1980/02/18 - 1984/09/03)
","1980/02/18 - 1984/09/03
",NA,"Niagara Falls (1980/02/18 - 1984/09/03)
","Ontario
",Man,"Liberal Party of Canada (1980/02/18 - 1984/09/03)
","1660 days (4 years, 6 months, 16 days)"
"MacDonald, Daniel Joseph",1918-07-23,"MP (1980/02/18 - 1980/09/30)
MP (1972/10/30 - 1979/05/21)
","1980/02/18 - 1980/09/30
1972/10/30 - 1979/05/21
",NA,"Cardigan (1980/02/18 - 1980/09/30)
Cardigan (1972/10/30 - 1979/05/21)
","Prince Edward Island
Prince Edward Island
",Man,"Liberal Party of Canada (1980/02/18 - 1980/09/30)
Liberal Party of Canada (1972/10/30 - 1979/05/21)
","2621 days (7 years, 2 months, 3 days)"
"MacDonald, David Samuel Horne",1936-08-20,"MP (1988/11/21 - 1993/10/24)
MP (1968/06/25 - 1980/02/17)
MP (1965/11/08 - 1968/06/24)
","1988/11/21 - 1993/10/24
1968/06/25 - 1980/02/17
1965/11/08 - 1968/06/24
",NA,"Rosedale (1988/11/21 - 1993/10/24)
Egmont (1968/06/25 - 1980/02/17)
Prince (1965/11/08 - 1968/06/24)
","Ontario
Prince Edward Island
Prince Edward Island
",Man,"Progressive Conservative Party (1988/11/21 - 1993/10/24)
Progressive Conservative Party (1965/11/08 - 1980/02/17)
","7014 days (19 years, 2 months, 13 days)"
"Macdonald, Donald Stovel",1932-03-01,"MP (1962/06/18 - 1978/02/28)
","1962/06/18 - 1978/02/28
",NA,"Rosedale (1962/06/18 - 1978/02/28)
","Ontario
",Man,"Liberal Party of Canada (1962/06/18 - 1978/02/28)
","5735 days (15 years, 8 months, 13 days)"
"MacDonald, Finlay",1923-01-04,"Senator (1984/12/21 - 1998/01/04)
",NA,"1984/12/21 - 1998/01/04
","Halifax (1984/12/21 - 1998/01/04)
","Nova Scotia
",Man,"Progressive Conservative Party (1984/12/21 - 1998/01/04)
","4763 days (13 years, 15 days)"
"MacDonald, Flora Isabel",1926-06-03,"MP (1972/10/30 - 1988/11/20)
","1972/10/30 - 1988/11/20
",NA,"Kingston and the Islands (1972/10/30 - 1988/11/20)
","Ontario
",Woman,"Progressive Conservative Party (1972/10/30 - 1988/11/20)
","5866 days (16 years, 22 days)"
"MacDonald, John Joseph",1891-09-27,"Senator (1958/01/27 - 1971/04/20)
",NA,"1958/01/27 - 1971/04/20
","Queen's (1958/01/27 - 1971/04/20)
","Prince Edward Island
",Man,"Progressive Conservative Party (1958/01/27 - 1971/04/20)
","4832 days (13 years, 2 months, 23 days)"
"Macdonald, John Michael",1906-05-03,"Senator (1960/06/24 - 1997/06/20)
",NA,"1960/06/24 - 1997/06/20
","Cape Breton (1960/06/24 - 1997/06/20)
","Nova Scotia
",Man,"Progressive Conservative Party (1960/06/24 - 1997/06/20)
","13511 days (36 years, 11 months, 27 days)"
"MacDonald, Michael L.",NA,"Senator (2009/01/02 - )
",NA,"2009/01/02 - 
","Cape Breton (2009/01/02 - )
","Nova Scotia
",Man,"Conservative Party of Canada (2009/01/02 - )
","5547 days (15 years, 2 months, 7 days)"
"MacDonald, Ronald",1955-06-23,"MP (1988/11/21 - 1997/06/01)
","1988/11/21 - 1997/06/01
",NA,"Dartmouth (1988/11/21 - 1997/06/01)
","Nova Scotia
",Man,"Liberal Party of Canada (1988/11/21 - 1997/06/01)
","3115 days (8 years, 6 months, 10 days)"
"MacDonald, Wilbur",1933-09-13,"MP (1979/05/22 - 1980/02/17)
","1979/05/22 - 1980/02/17
",NA,"Cardigan (1979/05/22 - 1980/02/17)
","Prince Edward Island
",Man,"Progressive Conservative Party (1979/05/22 - 1980/02/17)
","272 days (8 months, 29 days)"
"Macdonald, William Ross",1891-12-25,"MP (1949/06/27 - 1953/06/11)
MP (1935/10/14 - 1949/06/26)
Senator (1953/06/12 - 1967/12/22)
","1949/06/27 - 1953/06/11
1935/10/14 - 1949/06/26
","1953/06/12 - 1967/12/22
","Brantford (1953/06/12 - 1967/12/22)
Brantford (1949/06/27 - 1953/06/11)
Brantford City (1935/10/14 - 1949/06/26)
","Ontario
Ontario
Ontario
",Man,"Liberal Party of Canada (1935/10/14 - 1967/12/22)
","11758 days (32 years, 2 months, 9 days)"
"MacDougall, John Alexander Frances",1947-04-20,"MP (1993/03/29 - 1993/10/24)
MP (1982/10/12 - 1993/03/28)
","1993/03/29 - 1993/10/24
1982/10/12 - 1993/03/28
",NA,"Timiskaming--French River (1993/03/29 - 1993/10/24)
Timiskaming (1982/10/12 - 1993/03/28)
","Ontario
Ontario
",Man,"Progressive Conservative Party (1982/10/12 - 1993/10/24)
","4031 days (11 years, 13 days)"
"MacEachen, Allan Joseph",1921-07-06,"MP (1968/06/25 - 1984/06/28)
MP (1962/06/18 - 1968/06/24)
MP (1953/08/10 - 1958/03/30)
Senator (1984/06/29 - 1996/07/06)
","1968/06/25 - 1984/06/28
1962/06/18 - 1968/06/24
1953/08/10 - 1958/03/30
","1984/06/29 - 1996/07/06
","Highlands-Canso (1984/06/29 - 1996/07/06)
Cape Breton Highlands--Canso (1968/06/25 - 1984/06/28)
Inverness--Richmond (1962/06/18 - 1968/06/24)
Inverness--Richmond (1953/08/10 - 1958/03/30)
","Nova Scotia
Nova Scotia
Nova Scotia
Nova Scotia
",Man,"Liberal Party of Canada (1962/06/18 - 1996/07/06)
Liberal Party of Canada (1953/08/10 - 1958/03/30)
","14132 days (38 years, 8 months, 10 days)"
"MacEwan, Howard Russell",1925-05-08,"MP (1968/06/25 - 1971/01/14)
MP (1957/06/10 - 1968/06/24)
","1968/06/25 - 1971/01/14
1957/06/10 - 1968/06/24
",NA,"Central Nova (1968/06/25 - 1971/01/14)
Pictou (1957/06/10 - 1968/06/24)
","Nova Scotia
Nova Scotia
",Man,"Progressive Conservative Party (1957/06/10 - 1971/01/14)
","4967 days (13 years, 7 months, 6 days)"
"MacFarlane, Angus (Gus)",1925-02-19,"MP (1974/07/08 - 1979/05/21)
","1974/07/08 - 1979/05/21
",NA,"Hamilton Mountain (1974/07/08 - 1979/05/21)
","Ontario
",Man,"Liberal Party of Canada (1974/07/08 - 1979/05/21)
","1779 days (4 years, 10 months, 14 days)"
"MacGregor, Alistair",NA,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Cowichan--Malahat--Langford (2015/10/19 - )
","British Columbia
",Man,"New Democratic Party (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"MacGuigan, Mark Rudolph",1931-02-17,"MP (1968/06/25 - 1984/06/29)
","1968/06/25 - 1984/06/29
",NA,"Windsor--Walkerville (1968/06/25 - 1984/06/29)
","Ontario
",Man,"Liberal Party of Canada (1968/06/25 - 1984/06/29)
","5849 days (16 years, 5 days)"
"MacInnis, Donald",1918-08-21,"MP (1968/06/25 - 1974/07/07)
MP (1963/04/08 - 1968/06/24)
MP (1957/06/10 - 1962/06/17)
","1968/06/25 - 1974/07/07
1963/04/08 - 1968/06/24
1957/06/10 - 1962/06/17
",NA,"Cape Breton--East Richmond (1968/06/25 - 1974/07/07)
Cape Breton South (1963/04/08 - 1968/06/24)
Cape Breton South (1957/06/10 - 1962/06/17)
","Nova Scotia
Nova Scotia
Nova Scotia
",Man,"Progressive Conservative Party (1963/04/08 - 1974/07/07)
Progressive Conservative Party (1957/06/10 - 1962/06/17)
","5943 days (16 years, 3 months, 8 days)"
"MacInnis, Winona Grace",1905-07-25,"MP (1965/11/08 - 1974/07/07)
","1965/11/08 - 1974/07/07
",NA,"Vancouver Kingsway (1965/11/08 - 1974/07/07)
","British Columbia
",Woman,"New Democratic Party (1961/08/03 - 1974/07/07)
","3164 days (8 years, 7 months, 29 days)"
"Mackasey, Bryce Stuart",1921-08-25,"MP (1980/02/18 - 1984/09/03)
MP (1962/06/18 - 1976/10/27)
","1980/02/18 - 1984/09/03
1962/06/18 - 1976/10/27
",NA,"Lincoln (1980/02/18 - 1984/09/03)
Verdun (1962/06/18 - 1976/10/27)
","Ontario
Quebec
",Man,"Liberal Party of Canada (1980/02/18 - 1984/09/03)
Liberal Party of Canada (1962/06/18 - 1976/10/26)
","6906 days (18 years, 10 months, 28 days)"
"MacKay, Elmer MacIntosh",1936-08-05,"MP (1984/09/04 - 1993/10/24)
MP (1971/05/31 - 1983/06/15)
","1984/09/04 - 1993/10/24
1971/05/31 - 1983/06/15
",NA,"Central Nova (1984/09/04 - 1993/10/24)
Central Nova (1971/05/31 - 1983/06/15)
","Nova Scotia
Nova Scotia
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
Progressive Conservative Party (1971/05/31 - 1983/06/15)
","7737 days (21 years, 2 months, 6 days)"
"MacKay, Peter Gordon",1965-09-27,"MP (2004/06/28 - 2015/10/18)
MP (1997/06/02 - 2004/06/27)
","2004/06/28 - 2015/10/18
1997/06/02 - 2004/06/27
",NA,"Central Nova (2004/06/28 - 2015/10/18)
Pictou--Antigonish--Guysborough (1997/06/02 - 2004/06/27)
","Nova Scotia
Nova Scotia
",Man,"Conservative Party of Canada (2004/02/02 - 2015/10/18)
Progressive Conservative Party (1997/06/02 - 2004/02/01)
","6713 days (18 years, 4 months, 17 days)"
"MacKenzie, Dave",1946-06-12,"MP (2004/06/28 - 2023/01/27)
","2004/06/28 - 2023/01/27
",NA,"Oxford (2004/06/28 - 2023/01/27)
","Ontario
",Man,"Conservative Party of Canada (2004/06/28 - 2023/01/27)
","6788 days (18 years, 7 months, 1 days)"
"MacKenzie, Norman Archibald MacRae",1894-01-05,"Senator (1966/02/24 - 1969/01/05)
",NA,"1966/02/24 - 1969/01/05
","University-Point Grey (1966/02/24 - 1969/01/05)
","British Columbia
",Man,"Independent Liberal (1966/02/24 - 1969/01/05)
","1047 days (2 years, 10 months, 13 days)"
"MacKinnon, Steven",1966-09-28,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Gatineau (2015/10/19 - )
","Quebec
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Macklin, Paul Harold",1944-05-22,"MP (2004/06/28 - 2006/01/22)
MP (2000/11/27 - 2004/06/27)
","2004/06/28 - 2006/01/22
2000/11/27 - 2004/06/27
",NA,"Northumberland--Quinte West (2004/06/28 - 2006/01/22)
Northumberland (2000/11/27 - 2004/06/27)
","Ontario
Ontario
",Man,"Liberal Party of Canada (2000/11/27 - 2006/01/23)
","1883 days (5 years, 1 months, 27 days)"
"MacLaren, Roy",1934-10-26,"MP (1988/11/21 - 1996/01/24)
MP (1979/05/22 - 1984/09/03)
","1988/11/21 - 1996/01/24
1979/05/22 - 1984/09/03
",NA,"Etobicoke North (1988/11/21 - 1996/01/24)
Etobicoke North (1979/05/22 - 1984/09/03)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1988/11/21 - 1996/01/24)
Liberal Party of Canada (1979/05/22 - 1984/09/03)
","4553 days (12 years, 5 months, 18 days)"
"MacLean, John Angus",1914-05-15,"MP (1968/06/25 - 1976/10/20)
MP (1951/06/25 - 1968/06/24)
","1968/06/25 - 1976/10/20
1951/06/25 - 1968/06/24
",NA,"Malpeque (1968/06/25 - 1976/10/20)
Queen's (1951/06/25 - 1968/06/24)
","Prince Edward Island
Prince Edward Island
",Man,"Progressive Conservative Party (1951/06/25 - 1976/10/20)
","9250 days (25 years, 3 months, 28 days)"
"MacLellan, Russell Gregoire",1940-01-16,"MP (1988/11/21 - 1997/06/01)
MP (1979/05/22 - 1988/11/20)
","1988/11/21 - 1997/06/01
1979/05/22 - 1988/11/20
",NA,"Cape Breton--The Sydneys (1988/11/21 - 1997/06/01)
Cape Breton--The Sydneys (1979/05/22 - 1988/11/20)
","Nova Scotia
Nova Scotia
",Man,"Liberal Party of Canada (1979/05/22 - 1997/06/01)
","6586 days (18 years, 12 days)"
"MacNaught, John Watson",1904-06-19,"MP (1963/04/08 - 1965/11/07)
MP (1945/06/11 - 1957/06/09)
","1963/04/08 - 1965/11/07
1945/06/11 - 1957/06/09
",NA,"Prince (1963/04/08 - 1965/11/07)
Prince (1945/06/11 - 1957/06/09)
","Prince Edward Island
Prince Edward Island
",Man,"Liberal Party of Canada (1963/04/08 - 1965/11/07)
Liberal Party of Canada (1945/06/11 - 1957/06/09)
","5327 days (14 years, 7 months, 1 days)"
"Macnaughton, Alan Aylesworth",1903-07-30,"MP (1949/06/27 - 1965/11/07)
Senator (1966/07/08 - 1978/07/30)
","1949/06/27 - 1965/11/07
","1966/07/08 - 1978/07/30
","Saurel (1966/07/08 - 1978/07/30)
Mount Royal (1949/06/27 - 1965/11/07)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1966/07/08 - 1978/07/30)
Liberal Party of Canada (1949/06/27 - 1965/11/07)
","10384 days (28 years, 5 months, 5 days)"
"Macquarrie, Heath Nelson",1919-09-18,"MP (1968/06/25 - 1979/05/21)
MP (1957/06/10 - 1968/06/24)
Senator (1979/10/03 - 1994/09/18)
","1968/06/25 - 1979/05/21
1957/06/10 - 1968/06/24
","1979/10/03 - 1994/09/18
","Hillsborough (1979/10/03 - 1994/09/18)
Hillsborough (1968/06/25 - 1979/05/21)
Queen's (1957/06/10 - 1968/06/24)
","Prince Edward Island
Prince Edward Island
Prince Edward Island
",Man,"Progressive Conservative Party (1957/06/10 - 1994/09/18)
","13481 days (36 years, 10 months, 28 days)"
"MacRae, John Chester",1912-08-29,"MP (1957/06/10 - 1972/10/29)
","1957/06/10 - 1972/10/29
",NA,"York--Sunbury (1957/06/10 - 1972/10/29)
","New Brunswick
",Man,"Progressive Conservative Party (1957/06/10 - 1972/10/29)
","5621 days (15 years, 4 months, 20 days)"
"MacTavish, Duncan Kenneth",1899-08-03,"Senator (1963/06/11 - 1963/11/15)
",NA,"1963/06/11 - 1963/11/15
","Ontario (1963/06/11 - 1963/11/15)
","Ontario
",Man,"Liberal Party of Canada (1963/06/11 - 1963/11/15)
","158 days (5 months, 6 days)"
"MacWilliam, Lyle Dean",1949-07-31,"MP (1988/11/21 - 1993/10/24)
","1988/11/21 - 1993/10/24
",NA,"Okanagan--Shuswap (1988/11/21 - 1993/10/24)
","British Columbia
",Man,"New Democratic Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Madill, John Ellwood",1915-01-15,"MP (1972/10/30 - 1974/07/07)
MP (1963/04/08 - 1968/06/24)
","1972/10/30 - 1974/07/07
1963/04/08 - 1968/06/24
",NA,"Peel--Dufferin--Simcoe (1972/10/30 - 1974/07/07)
Dufferin--Simcoe (1963/04/08 - 1968/06/24)
","Ontario
Ontario
",Man,"Progressive Conservative Party (1972/10/30 - 1974/07/07)
Progressive Conservative Party (1963/04/08 - 1968/06/24)
","2521 days (6 years, 10 months, 26 days)"
"Maguire, Larry",1949-06-01,"MP (2013/11/25 - )
","2013/11/25 - 
",NA,"Brandon--Souris (2013/11/25 - )
","Manitoba
",Man,"Conservative Party of Canada (2013/11/25 - )
","3759 days (10 years, 3 months, 16 days)"
"Maheu, Shirley",1931-10-07,"MP (1989/12/29 - 1996/01/31)
MP (1988/11/21 - 1989/12/28)
Senator (1996/02/01 - 2006/02/01)
","1989/12/29 - 1996/01/31
1988/11/21 - 1989/12/28
","1996/02/01 - 2006/02/01
","Rougemont (1996/02/01 - 2006/02/01)
Saint-Laurent--Cartierville (1989/12/29 - 1996/01/31)
Saint-Laurent (1988/11/21 - 1989/12/28)
","Quebec
Quebec
Quebec
",Woman,"Liberal Party of Canada (1988/11/21 - 2006/02/01)
","6282 days (17 years, 2 months, 12 days)"
"Mahoney, Patrick Morgan",1929-01-20,"MP (1968/06/25 - 1972/10/29)
","1968/06/25 - 1972/10/29
",NA,"Calgary South (1968/06/25 - 1972/10/29)
","Alberta
",Man,"Liberal Party of Canada (1968/06/25 - 1972/10/29)
","1588 days (4 years, 4 months, 5 days)"
"Mahoney, Steve",1947-07-18,"MP (1997/06/02 - 2004/06/27)
","1997/06/02 - 2004/06/27
",NA,"Mississauga West (1997/06/02 - 2004/06/27)
","Ontario
",Man,"Liberal Party of Canada (1997/06/02 - 2004/06/27)
","2583 days (7 years, 26 days)"
"Mahovlich, Frank W.",1938-01-10,"Senator (1998/06/11 - 2013/01/10)
",NA,"1998/06/11 - 2013/01/10
","Toronto (1998/06/11 - 2013/01/10)
","Ontario
",Man,"Liberal Party of Canada (1998/06/11 - 2013/01/10)
","5328 days (14 years, 7 months, 2 days)"
"Mai, Hoang",1973-06-14,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Brossard--La Prairie (2011/05/02 - 2015/10/18)
","Quebec
",Man,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Mailly, Claudy",1938-11-30,"MP (1984/09/04 - 1988/11/20)
","1984/09/04 - 1988/11/20
",NA,"Gatineau (1984/09/04 - 1988/11/20)
","Quebec
",Woman,"Progressive Conservative Party (1984/09/04 - 1988/11/20)
","1539 days (4 years, 2 months, 17 days)"
"Maine, Francis (Frank) William",1937-09-15,"MP (1974/07/08 - 1979/05/21)
","1974/07/08 - 1979/05/21
",NA,"Wellington (1974/07/08 - 1979/05/21)
","Ontario
",Man,"Liberal Party of Canada (1974/07/08 - 1979/05/21)
","1779 days (4 years, 10 months, 14 days)"
"Major, Robert Benoit",1915-02-17,"MP (1968/06/25 - 1972/10/29)
","1968/06/25 - 1972/10/29
",NA,"Argenteuil (1968/06/25 - 1972/10/29)
","Quebec
",Man,"Liberal Party of Canada (1968/06/25 - 1972/10/29)
","1588 days (4 years, 4 months, 5 days)"
"Malcolmson, Sheila",1966-03-26,"MP (2015/10/19 - 2019/01/02)
","2015/10/19 - 2019/01/02
",NA,"Nanaimo--Ladysmith (2015/10/19 - 2019/01/02)
","British Columbia
",Woman,"New Democratic Party (2015/10/19 - 2019/01/02)
","1172 days (3 years, 2 months, 15 days)"
"Malépart, Jean-Claude",1938-12-03,"MP (1988/11/21 - 1989/11/16)
MP (1984/09/04 - 1988/11/20)
MP (1979/05/22 - 1984/09/03)
","1988/11/21 - 1989/11/16
1984/09/04 - 1988/11/20
1979/05/22 - 1984/09/03
",NA,"Laurier--Sainte-Marie (1988/11/21 - 1989/11/16)
Montreal--Sainte Marie (1984/09/04 - 1988/11/20)
Sainte-Marie (1979/05/22 - 1984/09/03)
","Quebec
Quebec
Quebec
",Man,"Liberal Party of Canada (1979/05/22 - 1989/11/16)
","3832 days (10 years, 5 months, 28 days)"
"Malhi, Gurbax Singh",1949-10-12,"MP (2004/06/28 - 2011/05/01)
MP (1998/06/18 - 2004/06/27)
MP (1993/10/25 - 1998/06/17)
","2004/06/28 - 2011/05/01
1998/06/18 - 2004/06/27
1993/10/25 - 1998/06/17
",NA,"Bramalea--Gore--Malton (2004/06/28 - 2011/05/01)
Bramalea--Gore--Malton--Springdale (1998/06/18 - 2004/06/27)
Bramalea--Gore--Malton (1993/10/25 - 1998/06/17)
","Ontario
Ontario
Ontario
",Man,"Liberal Party of Canada (1993/10/25 - 2011/05/01)
","6398 days (17 years, 6 months, 6 days)"
"Malo, Luc",1973-11-02,"MP (2006/01/23 - 2011/05/01)
","2006/01/23 - 2011/05/01
",NA,"Verchères--Les Patriotes (2006/01/23 - 2011/05/01)
","Quebec
",Man,"Bloc Québécois (2006/01/23 - 2011/05/01)
","1925 days (5 years, 3 months, 8 days)"
"Malone, Arnold John",1937-12-09,"MP (1979/05/22 - 1993/10/24)
MP (1974/07/08 - 1979/05/21)
","1979/05/22 - 1993/10/24
1974/07/08 - 1979/05/21
",NA,"Crowfoot (1979/05/22 - 1993/10/24)
Battle River (1974/07/08 - 1979/05/21)
","Alberta
Alberta
",Man,"Progressive Conservative Party (1974/07/08 - 1993/10/24)
","7049 days (19 years, 3 months, 18 days)"
"Maloney, James",NA,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Etobicoke--Lakeshore (2015/10/19 - )
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Maloney, John",1945-01-05,"MP (2004/06/28 - 2008/10/13)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","2004/06/28 - 2008/10/13
1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Welland (2004/06/28 - 2008/10/13)
Erie--Lincoln (1997/06/02 - 2004/06/27)
Erie (1993/10/25 - 1997/06/01)
","Ontario
Ontario
Ontario
",Man,"Liberal Party of Canada (1993/10/25 - 2008/10/13)
","5468 days (14 years, 11 months, 20 days)"
"Maloney, Marian L.",1924-08-16,"Senator (1998/06/11 - 1999/08/16)
",NA,"1998/06/11 - 1999/08/16
","Surprise Lake, Thunder Bay, North Western Ontario (1998/06/11 - 1999/08/16)
","Ontario
",Woman,"Liberal Party of Canada (1998/06/11 - 1999/08/16)
","432 days (1 years, 2 months, 6 days)"
"Maloway, Peter James (Jim)",1952-11-10,"MP (2008/10/14 - 2011/05/01)
","2008/10/14 - 2011/05/01
",NA,"Elmwood--Transcona (2008/10/14 - 2011/05/01)
","Manitoba
",Man,"New Democratic Party (2008/10/14 - 2011/05/01)
","930 days (2 years, 6 months, 17 days)"
"Maltais, André",1948-05-17,"MP (1979/05/22 - 1984/09/03)
","1979/05/22 - 1984/09/03
",NA,"Manicouagan (1979/05/22 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1979/05/22 - 1984/09/03)
","1932 days (5 years, 3 months, 15 days)"
"Maltais, Ghislain",NA,"Senator (2012/01/06 - 2019/04/22)
",NA,"2012/01/06 - 2019/04/22
","Shawinigan (2012/01/06 - 2019/04/22)
","Quebec
",Man,"Conservative Party of Canada (2012/01/06 - 2019/04/22)
","2664 days (7 years, 3 months, 16 days)"
"Mancini, Peter",1956-08-01,"MP (1997/06/02 - 2000/11/26)
","1997/06/02 - 2000/11/26
",NA,"Sydney--Victoria (1997/06/02 - 2000/11/26)
","Nova Scotia
",Man,"New Democratic Party (1997/06/02 - 2000/11/26)
","1274 days (3 years, 5 months, 26 days)"
"Mandziuk, J. Nicholas (Nick)",1902-12-13,"MP (1957/06/10 - 1968/06/24)
","1957/06/10 - 1968/06/24
",NA,"Marquette (1957/06/10 - 1968/06/24)
","Manitoba
",Man,"Progressive Conservative Party (1957/06/10 - 1968/06/24)
","4033 days (11 years, 15 days)"
"Manley, John Paul",1950-01-05,"MP (1988/11/21 - 2004/06/27)
","1988/11/21 - 2004/06/27
",NA,"Ottawa South (1988/11/21 - 2004/06/27)
","Ontario
",Man,"Liberal Party of Canada (1988/11/21 - 2004/06/27)
","5698 days (15 years, 7 months, 6 days)"
"Manly, James Douglas",1932-10-29,"MP (1980/02/18 - 1988/11/20)
","1980/02/18 - 1988/11/20
",NA,"Cowichan--Malahat--The Islands (1980/02/18 - 1988/11/20)
","British Columbia
",Man,"New Democratic Party (1980/02/18 - 1988/11/20)
","3199 days (8 years, 9 months, 3 days)"
"Manly, Paul",NA,"MP (2019/05/06 - 2021/09/19)
","2019/05/06 - 2021/09/19
",NA,"Nanaimo--Ladysmith (2019/05/06 - 2021/09/19)
","British Columbia
",Man,"Green Party of Canada (2019/05/06 - 2021/09/19)
","868 days (2 years, 4 months, 16 days)"
"Manning, Ernest Charles",1908-09-20,"Senator (1970/10/07 - 1983/09/20)
",NA,"1970/10/07 - 1983/09/20
","Edmonton West (1970/10/07 - 1983/09/20)
","Alberta
",Man,"Social Credit Party of Canada (1970/10/07 - 1983/09/20)
","4732 days (12 years, 11 months, 14 days)"
"Manning, Ernest Preston",1942-06-10,"MP (1993/10/25 - 2002/01/31)
","1993/10/25 - 2002/01/31
",NA,"Calgary Southwest (1993/10/25 - 2002/01/31)
","Alberta
",Man,"Canadian Reform Conservative Alliance (2000/03/27 - 2002/01/31)
Reform Party of Canada (1987/11/01 - 2000/03/26)
Social Credit Party of Canada (1965/11/08 - 1987/10/31)
","3021 days (8 years, 3 months, 8 days)"
"Manning, Fabian",NA,"MP (2006/01/23 - 2008/10/13)
Senator (2011/05/25 - )
Senator (2009/01/02 - 2011/03/28)
","2006/01/23 - 2008/10/13
","2011/05/25 - 
2009/01/02 - 2011/03/28
","Newfoundland and Labrador (2011/05/25 - )
Newfoundland and Labrador (2009/01/02 - 2011/03/28)
Avalon (2006/01/23 - 2008/10/13)
","Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador
",Man,"Conservative Party of Canada (2011/05/25 - )
Conservative Party of Canada (2009/01/02 - 2011/03/28)
Conservative Party of Canada (2006/01/23 - 2008/10/13)
","6485 days (17 years, 9 months, 2 days)"
